2025-12-12 15:11:07: Running on host: cad184d29a10
2025-12-12 15:11:07: Seed with <1234>
2025-12-12 15:11:08: Module repr_callback is not provided. To calculate mahalanobis, the provided dataset will be used to calculate precision matrix afterwards.
Calculating features from provided dataset <../../LiFePO4.traj>.
Calculating precision matrix from 2257 structures.
Processing batch 1/18
Processing batch 2/18
Processing batch 3/18
Processing batch 4/18
Processing batch 5/18
Processing batch 6/18
Processing batch 7/18
Processing batch 8/18
Processing batch 9/18
Processing batch 10/18
Processing batch 11/18
Processing batch 12/18
Processing batch 13/18
Processing batch 14/18
Processing batch 15/18
Processing batch 16/18
Processing batch 17/18
Processing batch 18/18
2025-12-12 15:11:22: Calcator assigned to atoms.
           step           epot           ekin           etot      maha_dist     is_outlier     is_warning
uncertainty backend state: <curator.simulate.uncertainty.auto.AutoUncertainty object at 0x7f73b0b0ef10>
uncertainty snapshot: {'maha_dist': 10.914968490600586, 'is_outlier': False, 'is_warning': False}
            131     -183.07375        1.03725     -182.03649       15.65604        0.00000        0.00000
            132     -182.93462        0.86831     -182.06631       15.92977        0.00000        0.00000
            133     -183.00537        0.99951     -182.00586       16.16391        0.00000        0.00000
            134     -183.08229        0.82344     -182.25885       16.27829        0.00000        0.00000
            135     -183.10725        0.83303     -182.27422       15.87903        0.00000        0.00000
            136     -183.25827        1.02055     -182.23772       14.71861        0.00000        0.00000
            137     -183.29945        1.12423     -182.17522       13.85632        0.00000        0.00000
            138     -183.14870        1.29937     -181.84933       13.98361        0.00000        0.00000
            139     -183.02333        1.22156     -181.80177       14.25539        0.00000        0.00000
            140     -183.11826        1.26398     -181.85427       14.25231        0.00000        0.00000
            141     -183.09717        1.22746     -181.86971       14.56495        0.00000        0.00000
            142     -183.11276        1.28306     -181.82971       14.98535        0.00000        0.00000
            143     -183.07050        1.23152     -181.83898       15.70232        0.00000        0.00000
            144     -182.96524        1.23962     -181.72562       16.64466        0.00000        0.00000
            145     -182.87311        1.05912     -181.81399       17.31122        0.00000        0.00000
            146     -182.79437        1.07852     -181.71585       17.75243        0.00000        0.00000
            147     -182.84373        1.11025     -181.73348       17.68442        0.00000        0.00000
            148     -182.96628        1.17176     -181.79452       17.15281        0.00000        0.00000
            149     -183.15224        1.26101     -181.89123       15.97957        0.00000        0.00000
            150     -183.19263        1.27975     -181.91288       15.21358        0.00000        0.00000
            151     -183.14584        1.33857     -181.80728       15.11323        0.00000        0.00000
            152     -183.08926        1.32993     -181.75933       15.53071        0.00000        0.00000
            153     -183.12219        1.17810     -181.94409       16.18186        0.00000        0.00000
            154     -183.01079        1.26200     -181.74878       17.13580        0.00000        0.00000
            155     -182.84235        1.03805     -181.80430       17.85690        0.00000        0.00000
            156     -182.95076        1.06074     -181.89002       17.49714        0.00000        0.00000
            157     -183.05969        1.00683     -182.05286       16.62354        0.00000        0.00000
            158     -183.05978        1.01743     -182.04235       16.47435        0.00000        0.00000
            159     -183.20078        0.99941     -182.20137       16.55659        0.00000        0.00000
            160     -183.13219        0.86478     -182.26741       16.62959        0.00000        0.00000
            161     -183.07695        0.76845     -182.30850       16.51989        0.00000        0.00000
            162     -183.30534        0.91392     -182.39142       15.79830        0.00000        0.00000
            163     -183.41843        1.15854     -182.25988       15.41250        0.00000        0.00000
            164     -183.30170        1.03685     -182.26485       15.67506        0.00000        0.00000
            165     -183.14200        0.96073     -182.18126       16.23594        0.00000        0.00000
            166     -183.12866        0.90729     -182.22137       16.56407        0.00000        0.00000
            167     -183.12267        0.98075     -182.14192       16.81566        0.00000        0.00000
            168     -183.10522        0.87774     -182.22748       16.69523        0.00000        0.00000
            169     -183.06570        0.96066     -182.10504       16.46696        0.00000        0.00000
            170     -183.16255        0.99864     -182.16391       16.06602        0.00000        0.00000
            171     -183.18179        0.97296     -182.20883       15.82050        0.00000        0.00000
            172     -183.04468        0.96122     -182.08346       15.80633        0.00000        0.00000
            173     -183.02948        0.89348     -182.13600       16.02328        0.00000        0.00000
            174     -183.15642        1.05642     -182.10000       16.03325        0.00000        0.00000
            175     -183.06728        0.89268     -182.17459       15.92397        0.00000        0.00000
            176     -182.95659        0.82825     -182.12834       15.69107        0.00000        0.00000
            177     -183.04265        0.99744     -182.04521       15.37213        0.00000        0.00000
            178     -183.15846        1.23056     -181.92790       15.33613        0.00000        0.00000
            179     -182.96388        1.08975     -181.87413       16.15239        0.00000        0.00000
            180     -182.83502        0.70145     -182.13357       16.84829        0.00000        0.00000
            181     -183.01097        0.81423     -182.19674       16.60420        0.00000        0.00000
            182     -183.09174        0.99917     -182.09257       16.29034        0.00000        0.00000
            183     -183.10509        0.99902     -182.10606       16.19785        0.00000        0.00000
            184     -183.13982        1.21800     -181.92181       15.89422        0.00000        0.00000
            185     -183.01939        1.08487     -181.93452       15.54025        0.00000        0.00000
            186     -183.00833        1.26475     -181.74358       14.87038        0.00000        0.00000
            187     -183.04210        1.33615     -181.70595       14.60047        0.00000        0.00000
            188     -183.06033        1.12844     -181.93189       14.77938        0.00000        0.00000
            189     -183.03734        1.02244     -182.01490       14.77377        0.00000        0.00000
            190     -183.08835        1.06034     -182.02800       14.52939        0.00000        0.00000
            191     -183.21834        1.12402     -182.09432       14.26555        0.00000        0.00000
            192     -183.10457        1.02224     -182.08233       14.36107        0.00000        0.00000
            193     -183.12274        1.00948     -182.11326       14.28900        0.00000        0.00000
            194     -183.21266        1.00072     -182.21194       14.23355        0.00000        0.00000
            195     -183.09793        0.93401     -182.16392       14.44806        0.00000        0.00000
            196     -183.05318        0.85956     -182.19362       14.40457        0.00000        0.00000
            197     -183.25247        1.15211     -182.10036       14.11791        0.00000        0.00000
            198     -183.21234        1.25655     -181.95579       14.34984        0.00000        0.00000
            199     -182.99127        0.99877     -181.99250       14.85249        0.00000        0.00000
            200     -183.13406        0.96845     -182.16562       14.54008        0.00000        0.00000
            201     -183.19780        1.02529     -182.17251       14.28261        0.00000        0.00000
            202     -183.24832        1.00210     -182.24622       14.19336        0.00000        0.00000
            203     -183.12421        0.81205     -182.31215       14.16170        0.00000        0.00000
            204     -183.14592        0.81014     -182.33578       14.16040        0.00000        0.00000
            205     -183.22021        0.94869     -182.27152       14.43009        0.00000        0.00000
            206     -183.26126        0.87516     -182.38610       14.72779        0.00000        0.00000
            207     -183.24147        0.89092     -182.35055       14.81677        0.00000        0.00000
            208     -183.23755        1.01521     -182.22234       14.90629        0.00000        0.00000
            209     -183.17375        0.99767     -182.17608       15.28502        0.00000        0.00000
            210     -183.01656        0.88472     -182.13183       15.94226        0.00000        0.00000
            211     -182.97348        0.93638     -182.03710       16.12443        0.00000        0.00000
            212     -182.99774        0.81163     -182.18611       16.22873        0.00000        0.00000
            213     -183.18806        0.96132     -182.22675       15.83164        0.00000        0.00000
            214     -183.20033        1.04354     -182.15680       15.57160        0.00000        0.00000
            215     -183.05977        0.78361     -182.27616       15.74675        0.00000        0.00000
            216     -183.24330        0.89105     -182.35225       15.44741        0.00000        0.00000
            217     -183.37881        0.90592     -182.47289       14.88006        0.00000        0.00000
            218     -183.14468        0.86464     -182.28005       14.90671        0.00000        0.00000
            219     -183.21989        0.98755     -182.23235       14.77558        0.00000        0.00000
            220     -183.36337        1.20903     -182.15435       14.90352        0.00000        0.00000
            221     -183.22389        0.95996     -182.26393       15.77781        0.00000        0.00000
            222     -183.02779        0.89379     -182.13400       16.23373        0.00000        0.00000
            223     -183.10675        0.84489     -182.26186       16.12996        0.00000        0.00000
            224     -183.23174        1.06373     -182.16800       16.07421        0.00000        0.00000
            225     -183.17029        1.14465     -182.02564       16.19954        0.00000        0.00000
            226     -183.09578        0.97833     -182.11745       16.36807        0.00000        0.00000
            227     -183.05898        0.82658     -182.23239       16.43298        0.00000        0.00000
            228     -183.00800        0.76565     -182.24234       16.40333        0.00000        0.00000
            229     -182.98016        0.70068     -182.27948       16.27615        0.00000        0.00000
            230     -183.09258        0.86003     -182.23254       15.65902        0.00000        0.00000
            231     -183.20244        1.13337     -182.06907       14.89858        0.00000        0.00000
            232     -183.19611        1.31844     -181.87767       14.72555        0.00000        0.00000
            233     -183.25684        1.19776     -182.05907       14.96023        0.00000        0.00000
            234     -183.23070        1.06055     -182.17014       15.35180        0.00000        0.00000
            235     -183.03012        0.91037     -182.11975       15.85556        0.00000        0.00000
            236     -183.04942        0.88932     -182.16011       16.26588        0.00000        0.00000
            237     -183.11099        0.92506     -182.18593       16.66747        0.00000        0.00000
            238     -183.04716        0.86376     -182.18341       16.99291        0.00000        0.00000
            239     -183.10255        1.06198     -182.04058       16.10263        0.00000        0.00000
            240     -183.30116        1.11885     -182.18231       14.64181        0.00000        0.00000
            241     -183.29630        1.19263     -182.10367       14.17008        0.00000        0.00000
            242     -183.19824        1.03030     -182.16794       14.26817        0.00000        0.00000
            243     -183.25844        0.91648     -182.34195       14.59698        0.00000        0.00000
            244     -183.31508        1.08835     -182.22673       15.02833        0.00000        0.00000
            245     -183.23645        1.02737     -182.20908       15.53601        0.00000        0.00000
            246     -183.18564        0.81918     -182.36646       15.86723        0.00000        0.00000
            247     -183.14729        0.68407     -182.46323       15.98339        0.00000        0.00000
            248     -183.11261        0.85680     -182.25581       15.63058        0.00000        0.00000
            249     -183.29533        1.12412     -182.17121       14.99129        0.00000        0.00000
            250     -183.30617        1.04128     -182.26489       14.83884        0.00000        0.00000
            251     -183.14490        0.94613     -182.19877       15.01703        0.00000        0.00000
            252     -183.05238        0.97142     -182.08096       14.89193        0.00000        0.00000
            253     -183.15300        1.05463     -182.09837       14.25082        0.00000        0.00000
            254     -183.26324        1.33718     -181.92607       14.04331        0.00000        0.00000
            255     -183.14677        1.27134     -181.87543       14.65685        0.00000        0.00000
            256     -182.99454        1.15931     -181.83523       15.55737        0.00000        0.00000
            257     -182.93626        0.85473     -182.08153       16.45532        0.00000        0.00000
            258     -182.95476        0.83821     -182.11655       16.62787        0.00000        0.00000
            259     -183.01529        1.03472     -181.98057       16.07154        0.00000        0.00000
            260     -183.11612        1.24125     -181.87487       14.90983        0.00000        0.00000
            261     -183.20500        1.23702     -181.96798       14.13038        0.00000        0.00000
            262     -183.24239        1.17101     -182.07138       14.03599        0.00000        0.00000
            263     -183.10573        1.03426     -182.07147       14.47008        0.00000        0.00000
            264     -182.90605        0.89932     -182.00673       15.07372        0.00000        0.00000
            265     -182.92599        0.92106     -182.00493       15.46742        0.00000        0.00000
            266     -183.01491        0.96627     -182.04863       15.34562        0.00000        0.00000
            267     -182.90021        0.99373     -181.90648       15.06805        0.00000        0.00000
            268     -182.91084        0.99195     -181.91889       14.84393        0.00000        0.00000
            269     -183.00578        1.09035     -181.91544       14.56738        0.00000        0.00000
            270     -182.90135        1.09692     -181.80443       14.61652        0.00000        0.00000
            271     -182.86790        1.09768     -181.77022       14.80743        0.00000        0.00000
            272     -183.03760        1.48011     -181.55749       14.67350        0.00000        0.00000
            273     -182.96707        1.27923     -181.68784       14.81592        0.00000        0.00000
            274     -183.02701        1.35348     -181.67352       14.96732        0.00000        0.00000
            275     -183.02554        1.36689     -181.65865       15.62998        0.00000        0.00000
            276     -182.87129        1.02194     -181.84936       16.34810        0.00000        0.00000
            277     -182.93637        1.04812     -181.88825       16.31552        0.00000        0.00000
            278     -183.01360        1.11717     -181.89643       16.23844        0.00000        0.00000
            279     -182.98117        1.13026     -181.85091       15.87275        0.00000        0.00000
            280     -183.02179        1.06573     -181.95606       15.39538        0.00000        0.00000
            281     -183.10735        1.21222     -181.89513       15.04231        0.00000        0.00000
            282     -183.13762        1.57755     -181.56007       15.24273        0.00000        0.00000
            283     -182.98544        1.23225     -181.75319       15.89344        0.00000        0.00000
            284     -182.81285        1.01811     -181.79474       16.69900        0.00000        0.00000
            285     -182.96083        1.07519     -181.88564       16.64998        0.00000        0.00000
